gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000231978	3	0	0	0	0	1	6	3	UP
ENSG00000187942	14	5	19	2	3	6	112	76	UP
ENSG00000142798	146	74	227	41	21	41	339	317	UP
ENSG00000228397	4	2	2	0	1	0	0	0	UP
ENSG00000218510	560	1195	497	126	79	89	222	146	UP
ENSG00000070831	10795	13393	9439	2143	2485	5592	11487	7754	UP
ENSG00000230068	39	34	14	0	6	21	19	18	UP
ENSG00000271428	49	33	17	3	17	23	17	23	UP
ENSG00000271840	12	34	16	8	15	21	45	29	UP
ENSG00000162552	23	67	30	8	12	17	29	38	UP
ENSG00000184677	9348	9954	7569	1646	4993	5965	8180	5953	UP
ENSG00000237200	53	44	44	12	60	45	56	46	UP
ENSG00000070886	5	8	7	3	4	2	2	1	UP
ENSG00000173372	75	1	0	0	5	4	0	1	UP
ENSG00000173369	33	0	0	1	0	0	0	0	UP
ENSG00000133216	2	13	1	1	0	3	1	0	UP
ENSG00000227868	0	1	1	0	2	0	0	0	UP
ENSG00000004487	2249	3676	1278	316	985	1110	3052	2125	UP
ENSG00000240553	2	4	1	0	2	0	0	2	UP
ENSG00000266802	4	2	0	0	0	0	3	1	UP
ENSG00000169641	505	3269	1636	393	1095	1309	4193	2886	UP
ENSG00000229010	0	3	1	0	1	3	5	2	UP
ENSG00000261326	88	843	724	163	293	295	595	510	UP
ENSG00000125944	6512	11580	7463	1733	3016	4443	10678	7437	UP
ENSG00000125945	222	1167	621	144	165	330	901	633	UP
ENSG00000249087	31	115	143	35	39	41	44	27	UP
ENSG00000271420	0	0	1	2	0	0	0	0	UP
ENSG00000204219	28	27	166	24	10	17	3	1	UP
ENSG00000088280	37	407	613	135	82	66	118	90	UP
ENSG00000007968	129	8	473	95	18	12	96	78	UP
ENSG00000235052	34	56	21	5	9	16	45	27	UP
ENSG00000117318	910	14532	6829	1617	1562	3054	9530	7021	UP
ENSG00000197880	207	102	200	41	103	178	24	14	UP
